time,action,price,units,balance
2021-01-30,BUY,1613.13,0.015497821006366503,25.0
2021-02-07,SELL,1879.59,0.015497821006366503,54.12954938535641
2021-02-09,BUY,1883.99,0.014365667913671625,27.064774692678206
2021-02-16,SELL,2529.36,0.014365667913671625,63.40072048680267
2021-02-18,BUY,2386.02,0.013285873648754552,31.700360243401335
2021-02-23,SELL,2447.45,0.013285873648754552,64.21687170504566
2021-02-24,BUY,2653.45,0.012100637227957125,32.10843585252283
2021-02-26,SELL,2632.48,0.012100637227957125,63.9631213423754
2021-03-03,BUY,2473.13,0.01293161324766094,31.9815606711877
2021-03-08,SELL,2337.29,0.01293161324766094,62.20649099881314
2021-03-10,BUY,2328.94,0.013355108117601384,31.10324549940657
2021-03-17,SELL,2769.65,0.013355108117601384,68.09222069732124
2021-03-18,BUY,2794.47,0.012183387314467725,34.04611034866062
2021-03-23,SELL,2967.87,0.012183387314467725,70.20482005764995
2021-03-29,BUY,2873.54,0.012215737393189229,35.10241002882498
2021-04-04,SELL,3214.74,0.012215737393189229,74.37282965620611
2021-04-09,BUY,3092.34,0.012025331893680206,37.186414828103054
2021-04-11,SELL,3322.52,0.012025331893680206,77.14082055149342
2021-04-17,BUY,2735.11,0.014101959437004987,38.57041027574671
2021-04-30,SELL,4036.33,0.014101959437004987,95.49057221011304
2021-05-07,BUY,3390.29,0.01408295045705722,47.74528610505652
2021-05-13,SELL,3567.13,0.01408295045705722,97.98100116893904
2021-05-17,BUY,3093.97,0.01583418733357774,48.99050058446952
2021-06-06,SELL,4779.27,0.01583418733357774,124.66635708221762
2021-06-12,BUY,4172.52,0.014938976575572747,62.33317854110881
2021-06-17,SELL,4302.2,0.014938976575572747,126.60364356453788
2021-06-21,BUY,4015.61,0.01576393668266314,63.30182178226894
2021-06-25,SELL,4399.49,0.01576393668266314,132.65510357827858
2021-06-30,BUY,4090.28,0.016215895192783693,66.32755178913929
2021-07-06,SELL,4412.83,0.016215895192783693,137.88554057271097
2021-07-08,BUY,4226.68,0.016311329527278023,68.94277028635548
2021-07-26,SELL,6505.97,0.016311329527278023,175.06379085094048
2021-07-31,BUY,5518.04,0.015862859896896404,87.53189542547024
2021-08-04,SELL,6585.16,0.015862859896896404,191.99136590411655
2021-08-06,BUY,6550.04,0.014655739957627477,95.99568295205827
2021-08-10,SELL,7104.75,0.014655739957627477,200.1210514160121
2021-08-20,BUY,5566.86,0.017974320480128127,100.06052570800605
2021-08-24,SELL,5585.3,0.017974320480128127,200.45249788566568
2021-08-26,BUY,6071.62,0.01650733230057758,100.22624894283284
2021-09-05,SELL,7692.67,0.01650733230057758,227.21170891151695
2021-09-08,BUY,7234.25,0.015703888372085355,113.60585445575848
2021-09-11,SELL,7402.54,0.015703888372085355,229.8545162856552
2021-09-15,BUY,7089.9,0.01620999705818525,114.92725814282761
2021-09-29,SELL,9079.62,0.01620999705818525,262.1078716322676
2021-10-01,BUY,8613.97,0.015214115653541143,131.0539358161338
2021-10-14,SELL,14168.89,0.015214115653541143,346.62106695843636
2021-10-17,BUY,13780.32,0.012576669734753488,173.31053347921818
2021-10-19,SELL,14134.39,0.012576669734753488,351.0740884114205
2021-10-21,BUY,13686.29,0.012825758054645213,175.53704420571026
2021-10-23,SELL,15271.28,0.012825758054645213,371.40278667045266
2021-10-27,BUY,14410.77,0.012886292220001174,185.70139333522633
2021-11-02,SELL,18310.2,0.012886292220001174,421.65198114189184
2021-11-06,BUY,15011.32,0.014044467146856233,210.82599057094592
2021-11-11,SELL,16740.18,0.014044467146856233,445.9328986134057
2021-11-13,BUY,17509.65,0.012733918114108667,222.96644930670286
2021-11-14,SELL,16840.7,0.012733918114108667,437.4145440909727
2021-11-16,BUY,16529.33,0.013231466250930093,218.70727204548635
2021-11-21,SELL,19006.46,0.013231466250930093,470.1906060851391
2021-11-27,BUY,15005.65,0.015667118921377586,235.09530304256955
2021-12-01,SELL,16481.5,0.015667118921377586,493.3129235452542
2021-12-09,BUY,13216.54,0.018662710646858184,246.65646177262713
2021-12-12,SELL,14403.7,0.018662710646858184,515.4685471167784
2021-12-27,BUY,7560.64,0.03408894928979414,257.7342735583892
2022-01-02,SELL,9412.74,0.03408894928979414,578.6046900964061
2022-01-23,BUY,6398.46,0.045214371121832915,289.30234504820305
2022-01-30,SELL,8328.85,0.045214371121832915,665.8860599662812
2022-02-02,BUY,8301.44,0.040106659806387876,332.9430299831406
2022-02-05,SELL,8023.69,0.040106659806387876,654.746435205057
2022-02-09,BUY,8032.79,0.04075460924567037,327.3732176025285
2022-02-15,SELL,8861.9,0.04075460924567037,688.5364892767348
2022-02-16,BUY,9050.96,0.03803665518777759,344.2682446383674
2022-02-19,SELL,9716.97,0.03803665518777759,713.8692819983465
2022-02-22,BUY,8530.33,0.04184300501846626,356.93464099917327
2022-02-27,SELL,11063.34,0.04184300501846626,819.8580321401718
2022-03-01,BUY,10226.49,0.040085016077861114,409.9290160700859
2022-03-05,SELL,12093.0,0.040085016077861114,894.6771154996603
2022-03-14,BUY,10517.35,0.04253339080184934,447.33855774983016
2022-03-17,SELL,11339.69,0.04253339080184934,929.6540240916531
2022-03-24,BUY,10184.88,0.04563892869094448,464.82701204582656
2022-03-26,SELL,10747.53,0.04563892869094448,955.3327673196131
2022-03-31,BUY,8974.55,0.05322454982810354,477.66638365980657
2022-04-12,SELL,14374.64,0.05322454982810354,1242.7501266008567
2022-04-14,BUY,13257.69,0.04686902946896694,621.3750633004283
2022-04-17,SELL,14500.16,0.04686902946896694,1300.983489645164
2022-04-20,BUY,14731.61,0.04415618827966406,650.491744822582
2022-04-22,SELL,14948.72,0.04415618827966406,1310.5702396825618
2022-05-11,BUY,7829.09,0.08369875935022855,655.2851198412809
2022-05-17,SELL,9490.57,0.08369875935022855,1449.6340543677793
2022-05-18,BUY,9929.78,0.07299426847159651,724.8170271838896
2022-05-25,SELL,12422.41,0.07299426847159651,1631.5817577881348
2022-05-29,BUY,10529.19,0.07747897786003172,815.7908788940674
2022-05-30,SELL,10880.8,0.07747897786003172,1658.8241411935005
2022-05-31,BUY,11640.56,0.07125190459881228,829.4120705967503
2022-06-01,SELL,10831.97,0.07125190459881228,1601.2105636539468
2022-06-03,BUY,11244.92,0.07119706336967924,800.6052818269734
2022-06-08,SELL,13910.77,0.07119706336967924,1791.0112550380063
2022-06-12,BUY,12826.92,0.06981454842775998,895.5056275190032
2022-06-13,SELL,13563.84,0.06981454842775998,1842.4589920653912
2022-06-15,BUY,13081.46,0.07042252898626726,921.2294960326955
2022-06-21,SELL,17969.97,0.07042252898626726,2186.7202292400484
2022-06-24,BUY,16844.81,0.06490783301325596,1093.3601146200242
2022-07-04,SELL,24622.82,0.06490783301325596,2691.5740034954833
2022-07-12,BUY,18709.2,0.07193183042287973,1345.7870017477417
2022-07-15,SELL,20359.27,0.07193183042287973,2810.2665589213643
2022-07-20,BUY,19199.09,0.07318749375416658,1405.1332794606822
2022-07-28,SELL,22045.86,0.07318749375416658,3018.614520515913
2022-07-31,BUY,20948.89,0.0720471232727823,1509.3072602579564
2022-08-04,SELL,23705.08,0.0720471232727823,3217.1900812091226
2022-08-07,BUY,21080.55,0.07630707171324094,1608.5950406045613
2022-08-10,SELL,24313.27,0.07630707171324094,3463.869478077951
2022-08-15,BUY,21898.01,0.07909096484287731,1731.9347390389755
2022-08-21,SELL,24439.9,0.07909096484287731,3664.910010702413
2022-08-24,BUY,23696.58,0.07732993560046245,1832.4550053512062
2022-08-28,SELL,26029.37,0.07732993560046245,3845.304511171815
2022-09-02,BUY,23494.61,0.08183375912968581,1922.6522555859076
2022-09-16,SELL,32270.16,0.08183375912968581,4563.440756102329
2022-10-03,BUY,17675.9,0.12908651769081994,2281.7203780511645
2022-10-06,SELL,19440.53,0.12908651769081994,4791.23069781508
2022-10-09,BUY,17985.23,0.13319903881727063,2395.61534890754
2022-10-11,SELL,19778.41,0.13319903881727063,5030.080550241433
2022-10-28,BUY,10881.33,0.23113353561749497,2515.0402751207166
2022-10-31,SELL,11856.23,0.23113353561749497,5255.4126341149295
2022-11-18,BUY,7790.73,0.33728627703148034,2627.7063170574647
2022-11-20,SELL,8174.12,0.33728627703148034,5384.724819866029
2022-11-22,BUY,7761.79,0.3468739053662898,2692.3624099330145
2022-11-25,SELL,8879.41,0.3468739053662898,5772.3980339815025
2022-11-29,BUY,7409.66,0.3895184147438278,2886.1990169907513
2022-12-01,SELL,7751.24,0.3895184147438278,5905.4497340897
2022-12-04,BUY,6969.94,0.4236370567099358,2952.72486704485
2022-12-09,SELL,8354.11,0.4236370567099358,6491.835438875892
2022-12-13,BUY,7876.05,0.41212507785475533,3245.917719437946
2022-12-15,SELL,7943.52,0.41212507785475533,6519.641517878752
2022-12-19,BUY,7119.38,0.4578798657944057,3259.820758939376
2022-12-22,SELL,7266.7,0.4578798657944057,6587.096379707584
2023-01-03,BUY,4657.9,0.7070886429192967,3293.548189853792
2023-01-07,SELL,5081.81,0.7070886429192967,6886.838326327504
2023-01-17,BUY,3812.19,0.9032653574884126,3443.419163163752
2023-01-21,SELL,3813.6,0.9032653574884126,6888.111930481562
2023-01-23,BUY,3780.3,0.9110536108882313,3444.055965240781
2023-01-29,SELL,4461.39,0.9110536108882313,7508.621434321428
2023-02-06,BUY,3571.21,1.051271338610923,3754.310717160714
2023-02-09,SELL,3569.87,1.051271338610923,7507.21273072769
2023-02-12,BUY,3157.08,1.1889487644797867,3753.606365363845
2023-02-22,SELL,4968.0,1.1889487644797867,9660.303827299425
2023-02-25,BUY,5057.9,0.9549718091796423,4830.151913649713
2023-03-02,SELL,5257.05,0.9549718091796423,9850.486463097552
2023-03-03,BUY,5399.46,0.9121732972461646,4925.243231548776
2023-03-08,SELL,5780.04,0.9121732972461646,10197.641376563497
2023-03-12,BUY,5158.52,0.9884270465718361,5098.8206882817485
2023-03-15,SELL,5349.22,0.9884270465718361,10386.134414344746
2023-03-18,BUY,5061.72,1.0259491254301645,5193.067207172374
2023-03-25,SELL,6465.14,1.0259491254301645,11825.971935955948
2023-03-26,BUY,6886.92,0.8585820610632872,5912.985967977974
2023-03-31,SELL,7969.48,0.8585820610632872,12755.438531980619
2023-04-02,BUY,7952.87,0.8019393333463655,6377.719265990309
2023-04-05,SELL,8417.18,0.8019393333463655,13127.78698384667
2023-04-21,BUY,6048.7,1.0851742509834073,6563.893491923335
2023-04-23,SELL,6705.57,1.0851742509834073,13840.60539409014
2023-04-27,BUY,5893.51,1.174224307254093,6920.30269704507
2023-04-30,SELL,6375.83,1.174224307254093,14406.957261964933
2023-05-08,BUY,5387.7,1.3370229654551047,7203.478630982466
2023-05-14,SELL,6260.0,1.3370229654551047,15573.24239473142
2023-05-20,BUY,5079.2,1.5330408720597162,7786.62119736571
2023-05-24,SELL,6200.86,1.5330408720597162,17292.79301928592
2023-06-09,BUY,3862.38,2.238618807482164,8646.39650964296
2023-06-11,SELL,4091.97,2.238618807482164,17806.75751129575
2023-06-22,BUY,3010.23,2.9577071372114005,8903.378755647875
2023-06-24,SELL,3187.32,2.9577071372114005,18330.537868224514
2023-06-30,BUY,2621.84,3.4957392266928022,9165.268934112257
2023-07-04,SELL,3031.81,3.4957392266928022,19763.686078991763
2023-07-11,BUY,2517.63,3.9250577088356433,9881.843039495881
2023-07-15,SELL,2812.01,3.9250577088356433,20919.1445673188
2023-07-16,BUY,2830.11,3.6958182839746154,10459.5722836594
2023-07-17,SELL,2825.99,3.6958182839746154,20903.917795988822
2023-07-22,BUY,2473.09,4.22627518529225,10451.958897994411
2023-07-23,SELL,2541.33,4.22627518529225,21192.318814633167
2023-07-26,BUY,2283.82,4.63966486295618,10596.159407316583
2023-08-10,SELL,2738.93,4.63966486295618,23303.876690413155
2023-08-22,BUY,2019.87,5.768657559747201,11651.938345206578
2023-08-24,SELL,2154.66,5.768657559747201,24081.43404289148
2023-08-31,BUY,1781.18,6.759966438790992,12040.71702144574
2023-09-02,SELL,1845.67,6.759966438790992,24517.384278529113
2023-09-07,BUY,1510.73,8.114416301565836,12258.692139264558
2023-09-10,SELL,1769.23,8.114416301565836,26614.960892483883
2023-09-13,BUY,1757.17,7.573245870486032,13307.480446241942
2023-09-17,SELL,1857.49,7.573245870486032,27374.708918211043
2023-09-28,BUY,1249.85,10.951197711009739,13687.354459105522
2023-09-29,SELL,1218.95,10.951197711009739,27036.316908940844
2023-09-30,BUY,1261.94,10.712203792946116,13518.158454470422
2023-10-07,SELL,1482.95,10.712203792946116,29403.821069219866
2023-10-12,BUY,1299.35,11.314819359379639,14701.910534609933
2023-10-13,SELL,1308.79,11.314819359379639,29510.63296397241
2023-10-15,BUY,1283.12,11.499560822047982,14755.316481986205
2023-10-24,SELL,1443.05,11.499560822047982,31349.757726242548
2023-10-28,BUY,1467.17,10.683750937601827,15674.878863121274
2023-11-05,SELL,1844.22,10.683750937601827,35378.066017265315
2023-11-06,BUY,1896.75,9.325969689538768,17689.033008632658
2023-11-11,SELL,1949.6,9.325969689538768,35870.94351535744
2023-11-15,BUY,1763.77,10.168826863864744,17935.47175767872
2023-11-22,SELL,2165.27,10.168826863864744,39953.72750119913
2023-11-25,BUY,2135.89,9.352945961917312,19976.863750599565
2023-11-28,SELL,2173.18,9.352945961917312,40302.498856119026
2023-12-01,BUY,2082.89,9.674658492795833,20151.249428059513
2023-12-06,SELL,2377.17,9.674658492795833,43149.55735737899
2023-12-11,BUY,2155.01,10.011451769917306,21574.77867868949
2023-12-17,SELL,2382.94,10.011451769917306,45431.46755929624
2023-12-19,BUY,2357.32,9.636253788050887,22715.73377964812
2023-12-25,SELL,2828.92,9.636253788050887,49975.92484574103
2024-01-05,BUY,2313.91,10.799020887964751,24987.962422870514
2024-01-07,SELL,2123.0,10.799020887964751,47914.28376801968
2024-01-09,BUY,2288.98,10.466295854052827,23957.14188400984
2024-01-10,SELL,2139.35,10.466295854052827,46348.21191937776
2024-01-23,BUY,1748.6,13.252948621576623,23174.10595968888
2024-01-28,SELL,2027.81,13.252948621576623,50048.56770400817
2024-02-06,BUY,1546.83,16.17778543990231,25024.283852004086
2024-02-14,SELL,1988.09,16.17778543990231,57187.17730721946
2024-02-19,BUY,1659.38,17.231489263224656,28593.58865360973
2024-02-23,SELL,1915.16,17.231489263224656,61594.64763096707
2024-02-26,BUY,1853.91,16.61209218111102,30797.323815483538
2024-02-28,SELL,1851.66,16.61209218111102,61557.270423559574
2024-03-01,BUY,1848.02,16.654925385969733,30778.635211779787
2024-03-05,SELL,1902.4,16.654925385969733,62462.96526604861
2024-03-07,BUY,1810.05,17.254486137412947,31231.482633024305
2024-03-08,SELL,1791.18,17.254486137412947,62137.37311263563
2024-03-09,BUY,1946.89,15.958110913465996,31068.686556317814
2024-03-11,SELL,1793.76,15.958110913465996,59693.70758845658
2024-03-13,BUY,1783.55,16.734520363448343,29846.853794228286
2024-03-14,SELL,1729.27,16.734520363448343,58785.3578231286
2024-03-15,BUY,1868.2,15.733154325856065,29392.6789115643
2024-03-21,SELL,2029.25,15.733154325856065,61319.18232730772
2024-03-26,BUY,1865.77,16.432674533117083,30659.59116365386
2024-03-27,SELL,1866.15,16.432674533117083,61325.426743630305
2024-04-03,BUY,1566.8,19.57027914974161,30662.713371815153
2024-04-06,SELL,1670.25,19.57027914974161,63349.972121671075
2024-04-10,BUY,1480.55,21.394067110759877,31674.98606083554
2024-04-14,SELL,1542.65,21.394067110759877,64678.54368924927
2024-04-18,BUY,1411.88,22.905113638995264,32339.271844624636
2024-04-23,SELL,1648.13,22.905113638995264,70089.8767864619
2024-04-30,BUY,1529.79,22.908332773276694,35044.93839323095
2024-05-06,SELL,1791.07,22.908332773276694,76075.36597346363
2024-05-12,BUY,1424.32,26.705854714342156,38037.682986731816
2024-05-16,SELL,1515.71,26.705854714342156,78516.01403580737
2024-05-25,BUY,1263.13,31.079941904557472,39258.007017903685
2024-06-05,SELL,1643.32,31.079941904557472,90332.29714850106
2024-06-19,BUY,1044.23,43.25306548772831,45166.14857425053
2024-06-22,SELL,1106.46,43.25306548772831,93023.93541380239
2024-06-24,BUY,1058.64,43.93558500236264,46511.967706901196
2024-07-09,SELL,1676.37,43.93558500236264,120164.26433731185
2024-07-14,BUY,1560.74,38.495926399436115,60082.132168655924
2024-07-21,SELL,1851.66,38.495926399436115,131363.4992454358
2024-07-22,BUY,1868.0,35.16153620059845,65681.7496227179
2024-07-31,SELL,2331.26,35.16153620059845,147652.43250572507
2024-08-06,BUY,2140.86,34.4843736876127,73826.21625286253
2024-08-08,SELL,2157.71,34.4843736876127,148233.49420236133
2024-08-19,BUY,1655.97,44.75730061606229,74116.74710118066
2024-08-21,SELL,1613.24,44.75730061606229,146321.01474703697
2024-08-24,BUY,1550.63,47.1811504830414,73160.50737351849
2024-08-27,SELL,1574.03,47.1811504830414,147425.05366834014
2024-09-02,BUY,1445.76,50.985313491983504,73712.52683417007
2024-09-04,SELL,1398.28,50.985313491983504,145004.27098374075
2024-09-08,BUY,1365.38,53.10033506560105,72502.13549187037
2024-09-11,SELL,1410.42,53.10033506560105,147395.91007509542
2024-09-19,BUY,1246.61,59.11869392797083,73697.95503754771
2024-09-21,SELL,1312.58,59.11869392797083,151295.97031352366
2024-09-24,BUY,1201.36,62.96862319101838,75647.98515676183
2024-09-28,SELL,1325.21,62.96862319101838,159094.63429573132
2024-09-30,BUY,1309.24,60.75839200441909,79547.31714786566
2024-10-05,SELL,1423.43,60.75839200441909,166032.63507871592
2024-10-09,BUY,1285.76,64.56595129678786,83016.31753935796
2024-10-14,SELL,1456.77,64.56595129678786,177074.05840997963
2024-10-18,BUY,1234.96,71.69222420563403,88537.02920498981
2024-10-21,SELL,1343.84,71.69222420563403,184879.90778148905
2024-10-25,BUY,1192.28,77.53208465355833,92439.95389074452
2024-10-28,SELL,1305.99,77.53208465355833,193696.08112744516
2024-11-12,BUY,1016.53,95.27317498128198,96848.04056372258
2024-11-25,SELL,1510.68,95.27317498128198,240775.32054444565
2024-11-30,BUY,1281.6,93.93544028731495,120387.66027222283
2024-12-02,SELL,1341.45,93.93544028731495,246397.35664564147
2024-12-11,BUY,1127.79,109.23902350865032,123198.67832282074
2024-12-22,SELL,1684.95,109.23902350865032,307260.9709837211
2024-12-25,BUY,1534.03,100.14829272690922,153630.48549186054
2024-12-28,SELL,1632.54,100.14829272690922,317126.5793002489
2025-01-06,BUY,1501.93,105.57302247782815,158563.28965012444
2025-01-15,SELL,1993.15,105.57302247782815,368986.1594018076
2025-01-21,BUY,1710.79,107.84086866354362,184493.0797009038
